Age,G,J_max,Active Areas
Y,0.38,0.26,0.0
Y,0.4,0.26,0.0
Y,0.42,0.26,0.0
Y,0.44,0.26,0.0
Y,0.46,0.26,0.0
Y,0.48,0.26,18.0
Y,0.5,0.26,21.93
Y,0.2,0.27,0.0
Y,0.22,0.27,0.0
Y,0.24,0.27,0.0
Y,0.26,0.27,0.0
Y,0.28,0.27,0.0
Y,0.3,0.27,0.0
Y,0.32,0.27,0.0
Y,0.34,0.27,0.0
Y,0.36,0.27,0.0
Y,0.38,0.27,0.0
Y,0.4,0.27,0.0
Y,0.42,0.27,0.0
Y,0.44,0.27,0.0
Y,0.46,0.27,0.0
Y,0.48,0.27,19.22
Y,0.5,0.27,22.0
Y,0.2,0.28,0.0
Y,0.22,0.28,0.0
Y,0.24,0.28,0.0
Y,0.26,0.28,0.0
Y,0.28,0.28,0.0
Y,0.3,0.28,0.0
Y,0.32,0.28,0.0
Y,0.34,0.28,0.0
Y,0.36,0.28,0.0
Y,0.38,0.28,0.0
Y,0.4,0.28,0.0
Y,0.42,0.28,0.0
Y,0.44,0.28,0.0
Y,0.46,0.28,0.36
Y,0.48,0.28,21.48
Y,0.5,0.28,22.19
Y,0.2,0.29,0.0
Y,0.22,0.29,0.0
Y,0.24,0.29,0.0
Y,0.26,0.29,0.0
Y,0.28,0.29,0.0
Y,0.3,0.29,0.0
Y,0.32,0.29,0.0
Y,0.34,0.29,0.0
Y,0.36,0.29,0.0
Y,0.38,0.29,0.0
Y,0.4,0.29,0.0
Y,0.42,0.29,0.0
Y,0.44,0.29,0.0
Y,0.46,0.29,9.92
Y,0.48,0.29,22.0
Y,0.5,0.29,23.76
Y,0.2,0.3,0.0
Y,0.22,0.3,0.0
Y,0.24,0.3,0.0
Y,0.26,0.3,0.0
Y,0.28,0.3,0.0
Y,0.3,0.3,0.0
Y,0.32,0.3,0.0
Y,0.34,0.3,0.0
Y,0.36,0.3,0.0
Y,0.38,0.3,0.0
Y,0.4,0.3,0.0
Y,0.42,0.3,0.0
Y,0.44,0.3,0.0
Y,0.46,0.3,18.57
Y,0.48,0.3,22.0
Y,0.5,0.3,24.0
Y,0.2,0.31,0.0
Y,0.22,0.31,0.0
Y,0.24,0.31,0.0
Y,0.26,0.31,0.0
Y,0.28,0.31,0.0
Y,0.3,0.31,0.0
Y,0.32,0.31,0.0
Y,0.34,0.31,0.0
Y,0.36,0.31,0.0
Y,0.38,0.31,0.0
Y,0.4,0.31,0.0
Y,0.42,0.31,0.0
Y,0.44,0.31,0.0
Y,0.46,0.31,21.78
Y,0.48,0.31,22.0
Y,0.5,0.31,24.0
Y,0.2,0.32,0.0
Y,0.22,0.32,0.0
Y,0.24,0.32,0.0
Y,0.26,0.32,0.0
Y,0.28,0.32,0.0
Y,0.3,0.32,0.0
Y,0.32,0.32,0.0
Y,0.34,0.32,0.0
Y,0.36,0.32,0.0
Y,0.38,0.32,0.0
Y,0.4,0.32,0.0
Y,0.42,0.32,0.0
Y,0.44,0.32,0.0
Y,0.46,0.32,22.0
Y,0.48,0.32,22.0
Y,0.5,0.32,24.0
Y,0.2,0.33,0.0
Y,0.22,0.33,0.0
Y,0.24,0.33,0.0
Y,0.26,0.33,0.0
Y,0.28,0.33,0.0
Y,0.3,0.33,0.0
Y,0.32,0.33,0.0
Y,0.34,0.33,0.0
Y,0.36,0.33,0.0
Y,0.38,0.33,0.0
Y,0.4,0.33,0.0
Y,0.42,0.33,0.0
Y,0.44,0.33,0.0
Y,0.46,0.33,22.0
Y,0.48,0.33,22.0
Y,0.5,0.33,24.09
Y,0.2,0.34,0.0
Y,0.22,0.34,0.0
Y,0.24,0.34,0.0
Y,0.26,0.34,0.0
Y,0.28,0.34,0.0
Y,0.3,0.34,0.0
Y,0.32,0.34,0.0
Y,0.34,0.34,0.0
Y,0.36,0.34,0.0
Y,0.38,0.34,0.0
Y,0.4,0.34,0.0
Y,0.42,0.34,0.0
Y,0.44,0.34,0.0
Y,0.46,0.34,22.0
Y,0.48,0.34,22.0
Y,0.5,0.34,24.55
Y,0.2,0.35,0.0
Y,0.22,0.35,0.0
Y,0.24,0.35,0.0
Y,0.26,0.35,0.0
Y,0.28,0.35,0.0
Y,0.3,0.35,0.0
Y,0.32,0.35,0.0
Y,0.34,0.35,0.0
Y,0.36,0.35,0.0
Y,0.38,0.35,0.0
Y,0.4,0.35,0.0
Y,0.42,0.35,0.0
Y,0.44,0.35,0.0
Y,0.46,0.35,22.0
Y,0.48,0.35,22.2
Y,0.5,0.35,24.98
Y,0.2,0.36,0.0
Y,0.22,0.36,0.0
Y,0.24,0.36,0.0
Y,0.26,0.36,0.0
Y,0.28,0.36,0.0
Y,0.3,0.36,0.0
Y,0.32,0.36,0.0
Y,0.34,0.36,0.0
Y,0.36,0.36,0.0
Y,0.38,0.36,0.0
Y,0.4,0.36,0.0
Y,0.42,0.36,0.0
Y,0.44,0.36,0.0
Y,0.46,0.36,22.0
Y,0.48,0.36,23.72
Y,0.5,0.36,25.0
Y,0.2,0.37,0.0
Y,0.22,0.37,0.0
Y,0.24,0.37,0.0
Y,0.26,0.37,0.0
Y,0.28,0.37,0.0
Y,0.3,0.37,0.0
Y,0.32,0.37,0.0
Y,0.34,0.37,0.0
Y,0.36,0.37,0.0
Y,0.38,0.37,0.0
Y,0.4,0.37,0.0
Y,0.42,0.37,0.0
Y,0.44,0.37,0.0
Y,0.46,0.37,22.0
Y,0.48,0.37,24.0
Y,0.5,0.37,25.0
Y,0.2,0.38,0.0
Y,0.22,0.38,0.0
Y,0.24,0.38,0.0
Y,0.26,0.38,0.0
Y,0.28,0.38,0.0
Y,0.3,0.38,0.0
Y,0.32,0.38,0.0
Y,0.34,0.38,0.0
Y,0.36,0.38,0.0
Y,0.38,0.38,0.0
Y,0.4,0.38,0.0
Y,0.42,0.38,0.0
Y,0.44,0.38,4.97
Y,0.46,0.38,22.0
Y,0.48,0.38,24.0
Y,0.5,0.38,25.0
Y,0.2,0.39,0.0
Y,0.22,0.39,0.0
Y,0.24,0.39,0.0
Y,0.26,0.39,0.0
Y,0.28,0.39,0.0
Y,0.3,0.39,0.0
Y,0.32,0.39,0.0
Y,0.34,0.39,0.0
Y,0.36,0.39,0.0
Y,0.38,0.39,0.0
Y,0.4,0.39,0.0
Y,0.42,0.39,0.0
Y,0.44,0.39,17.16
Y,0.46,0.39,22.02
Y,0.48,0.39,24.0
Y,0.5,0.39,25.0
Y,0.2,0.4,0.0
Y,0.22,0.4,0.0
Y,0.24,0.4,0.0
Y,0.26,0.4,0.0
Y,0.28,0.4,0.0
Y,0.3,0.4,0.0
Y,0.32,0.4,0.0
Y,0.34,0.4,0.0
Y,0.36,0.4,0.0
Y,0.38,0.4,0.0
Y,0.4,0.4,0.0
Y,0.42,0.4,0.0
Y,0.44,0.4,21.34
Y,0.46,0.4,22.9
Y,0.48,0.4,24.55
Y,0.5,0.4,25.0
Y,0.2,0.41,0.0
Y,0.22,0.41,0.0
Y,0.24,0.41,0.0
Y,0.26,0.41,0.0
Y,0.28,0.41,0.0
Y,0.3,0.41,0.0
Y,0.32,0.41,0.0
Y,0.34,0.41,0.0
Y,0.36,0.41,0.0
Y,0.38,0.41,0.0
Y,0.4,0.41,0.0
Y,0.42,0.41,0.0
Y,0.44,0.41,21.78
Y,0.46,0.41,23.51
Y,0.48,0.41,25.0
Y,0.5,0.41,25.0
Y,0.2,0.42,0.0
Y,0.22,0.42,0.0
Y,0.24,0.42,0.0
Y,0.26,0.42,0.0
Y,0.28,0.42,0.0
Y,0.3,0.42,0.0
Y,0.32,0.42,0.0
Y,0.34,0.42,0.0
Y,0.36,0.42,0.0
Y,0.38,0.42,0.0
Y,0.4,0.42,0.0
Y,0.42,0.42,0.0
Y,0.44,0.42,22.0
Y,0.46,0.42,24.0
Y,0.48,0.42,25.0
Y,0.5,0.42,25.0
Y,0.2,0.43,0.0
Y,0.22,0.43,0.0
Y,0.24,0.43,0.0
Y,0.26,0.43,0.0
Y,0.28,0.43,0.0
Y,0.3,0.43,0.0
Y,0.32,0.43,0.0
Y,0.34,0.43,0.0
Y,0.36,0.43,0.0
Y,0.38,0.43,0.0
Y,0.4,0.43,0.0
Y,0.42,0.43,0.0
Y,0.44,0.43,22.48
Y,0.46,0.43,24.0
Y,0.48,0.43,25.0
Y,0.5,0.43,25.0
Y,0.2,0.44,0.0
Y,0.22,0.44,0.0
Y,0.24,0.44,0.0
Y,0.26,0.44,0.0
Y,0.28,0.44,0.0
Y,0.3,0.44,0.0
Y,0.32,0.44,0.0
Y,0.34,0.44,0.0
Y,0.36,0.44,0.0
Y,0.38,0.44,0.0
Y,0.4,0.44,0.0
Y,0.42,0.44,0.44
Y,0.44,0.44,23.01
Y,0.46,0.44,24.69
Y,0.48,0.44,25.0
Y,0.5,0.44,25.0
Y,0.2,0.45,0.0
Y,0.22,0.45,0.0
Y,0.24,0.45,0.0
Y,0.26,0.45,0.0
Y,0.28,0.45,0.0
Y,0.3,0.45,0.0
Y,0.32,0.45,0.0
Y,0.34,0.45,0.0
Y,0.36,0.45,0.0
Y,0.38,0.45,0.0
Y,0.4,0.45,0.0
Y,0.42,0.45,6.82
Y,0.44,0.45,23.54
Y,0.46,0.45,25.0
Y,0.48,0.45,25.0
Y,0.5,0.45,25.0
Y,0.2,0.46,0.0
Y,0.22,0.46,0.0
Y,0.24,0.46,0.0
Y,0.26,0.46,0.0
Y,0.28,0.46,0.0
Y,0.3,0.46,0.0
Y,0.32,0.46,0.0
Y,0.34,0.46,0.0
Y,0.36,0.46,0.0
Y,0.38,0.46,0.0
Y,0.4,0.46,0.0
Y,0.42,0.46,19.23
Y,0.44,0.46,24.0
Y,0.46,0.46,25.0
Y,0.48,0.46,25.0
Y,0.5,0.46,25.0
Y,0.2,0.47,0.0
Y,0.22,0.47,3.39
Y,0.24,0.47,4.57
Y,0.26,0.47,6.03
Y,0.28,0.47,6.91
Y,0.3,0.47,6.98
Y,0.32,0.47,7.04
Y,0.34,0.47,7.31
Y,0.36,0.47,7.84
Y,0.38,0.47,8.02
Y,0.4,0.47,8.92
Y,0.42,0.47,11.34
Y,0.44,0.47,14.87
Y,0.46,0.47,15.0
Y,0.48,0.47,15.0
Y,0.5,0.47,15.0
Y,0.2,0.48,0.03
Y,0.22,0.48,7.76
Y,0.24,0.48,7.96
Y,0.26,0.48,8.0
Y,0.28,0.48,8.0
Y,0.3,0.48,8.0
Y,0.32,0.48,8.01
Y,0.34,0.48,8.59
Y,0.36,0.48,13.93
Y,0.38,0.48,15.0
Y,0.4,0.48,15.0
Y,0.42,0.48,15.0
Y,0.44,0.48,15.0
Y,0.46,0.48,15.0
Y,0.48,0.48,15.0
Y,0.5,0.48,15.0
Y,0.2,0.49,0.49
Y,0.22,0.49,9.24
Y,0.24,0.49,9.5
Y,0.26,0.49,9.61
Y,0.28,0.49,9.75
Y,0.3,0.49,13.86
Y,0.32,0.49,15.0
Y,0.34,0.49,15.0
Y,0.36,0.49,15.0
Y,0.38,0.49,15.0
Y,0.4,0.49,15.0
Y,0.42,0.49,15.0
Y,0.44,0.49,15.0
Y,0.46,0.49,15.0
Y,0.48,0.49,15.0
Y,0.5,0.49,15.48
Y,0.2,0.5,2.16
Y,0.22,0.5,10.92
Y,0.24,0.5,13.81
Y,0.26,0.5,15.0
Y,0.28,0.5,15.0
Y,0.3,0.5,15.0
Y,0.32,0.5,15.0
Y,0.34,0.5,15.0
Y,0.36,0.5,15.0
Y,0.38,0.5,15.0
Y,0.4,0.5,15.0
Y,0.42,0.5,15.01
Y,0.44,0.5,15.32
Y,0.46,0.5,15.89
Y,0.48,0.5,16.0
Y,0.5,0.5,16.0
Y,0.2,0.51,9.24
Y,0.22,0.51,15.0
Y,0.24,0.51,15.0
Y,0.26,0.51,15.0
Y,0.28,0.51,15.0
Y,0.3,0.51,15.0
Y,0.32,0.51,15.0
Y,0.34,0.51,15.0
Y,0.36,0.51,15.08
Y,0.38,0.51,15.72
Y,0.4,0.51,16.0
Y,0.42,0.51,16.0
Y,0.44,0.51,16.0
Y,0.46,0.51,16.0
Y,0.48,0.51,16.0
Y,0.5,0.51,16.0
MA,0.2,0.21,0.0
MA,0.22,0.21,0.0
MA,0.24,0.21,0.0
MA,0.26,0.21,0.0
MA,0.28,0.21,0.0
MA,0.3,0.21,8.57
MA,0.32,0.21,14.09
MA,0.34,0.21,10.4
MA,0.36,0.21,10.42
MA,0.38,0.21,10.64
MA,0.4,0.21,8.55
MA,0.42,0.21,9.5
MA,0.44,0.21,9.5
MA,0.46,0.21,9.12
MA,0.48,0.21,9.31
MA,0.5,0.21,9.12
MA,0.2,0.22,0.0
MA,0.22,0.22,0.0
MA,0.24,0.22,0.0
MA,0.26,0.22,0.0
MA,0.28,0.22,12.31
MA,0.3,0.22,12.8
MA,0.32,0.22,7.74
MA,0.34,0.22,9.31
MA,0.36,0.22,10.26
MA,0.38,0.22,8.55
MA,0.4,0.22,8.17
MA,0.42,0.22,11.66
MA,0.44,0.22,11.04
MA,0.46,0.22,9.25
MA,0.48,0.22,12.25
MA,0.5,0.22,14.04
MA,0.2,0.23,0.0
MA,0.22,0.23,0.0
MA,0.24,0.23,0.0
MA,0.26,0.23,10.33
MA,0.28,0.23,12.78
MA,0.3,0.23,11.88
MA,0.32,0.23,9.69
MA,0.34,0.23,8.36
MA,0.36,0.23,9.69
MA,0.38,0.23,11.21
MA,0.4,0.23,14.38
MA,0.42,0.23,13.5
MA,0.44,0.23,13.0
MA,0.46,0.23,12.48
MA,0.48,0.23,13.26
MA,0.5,0.23,14.3
MA,0.2,0.24,0.0
MA,0.22,0.24,0.0
MA,0.24,0.24,8.1
MA,0.26,0.24,12.15
MA,0.28,0.24,9.02
MA,0.3,0.24,8.11
MA,0.32,0.24,8.55
MA,0.34,0.24,9.12
MA,0.36,0.24,11.96
MA,0.38,0.24,12.55
MA,0.4,0.24,13.26
MA,0.42,0.24,14.3
MA,0.44,0.24,13.26
MA,0.46,0.24,13.26
MA,0.48,0.24,14.04
MA,0.5,0.24,14.58
MA,0.2,0.25,0.0
MA,0.22,0.25,4.38
MA,0.24,0.25,12.03
MA,0.26,0.25,9.87
MA,0.28,0.25,9.36
MA,0.3,0.25,10.07
MA,0.32,0.25,10.07
MA,0.34,0.25,11.4
MA,0.36,0.25,10.56
MA,0.38,0.25,12.33
MA,0.4,0.25,12.48
MA,0.42,0.25,11.96
MA,0.44,0.25,14.04
MA,0.46,0.25,14.47
MA,0.48,0.25,13.23
MA,0.5,0.25,13.52
MA,0.2,0.26,0.35
MA,0.22,0.26,8.32
MA,0.24,0.26,9.0
MA,0.26,0.26,9.43
MA,0.28,0.26,9.65
MA,0.3,0.26,7.6
MA,0.32,0.26,7.98
MA,0.34,0.26,9.03
MA,0.36,0.26,11.42
MA,0.38,0.26,16.0
MA,0.4,0.26,13.52
MA,0.42,0.26,14.56
MA,0.44,0.26,14.56
MA,0.46,0.26,14.58
MA,0.48,0.26,13.23
MA,0.5,0.26,15.12
MA,0.2,0.27,6.06
MA,0.22,0.27,8.15
MA,0.24,0.27,7.8
MA,0.26,0.27,9.18
MA,0.28,0.27,10.45
MA,0.3,0.27,8.74
MA,0.32,0.27,9.12
MA,0.34,0.27,10.5
MA,0.36,0.27,12.42
MA,0.38,0.27,13.5
MA,0.4,0.27,15.86
MA,0.42,0.27,13.52
MA,0.44,0.27,11.96
MA,0.46,0.27,14.58
MA,0.48,0.27,15.39
MA,0.5,0.27,12.32
MA,0.2,0.28,5.44
MA,0.22,0.28,6.81
MA,0.24,0.28,7.01
MA,0.26,0.28,9.1
MA,0.28,0.28,9.31
MA,0.3,0.28,9.12
MA,0.32,0.28,10.26
MA,0.34,0.28,11.6
MA,0.36,0.28,12.19
MA,0.38,0.28,12.0
MA,0.4,0.28,13.26
MA,0.42,0.28,14.3
MA,0.44,0.28,13.52
MA,0.46,0.28,11.88
MA,0.48,0.28,14.04
MA,0.5,0.28,13.71
MA,0.2,0.29,6.52
MA,0.22,0.29,6.75
MA,0.24,0.29,8.35
MA,0.26,0.29,9.88
MA,0.28,0.29,8.55
MA,0.3,0.29,10.07
MA,0.32,0.29,8.57
MA,0.34,0.29,8.06
MA,0.36,0.29,13.11
MA,0.38,0.29,13.0
MA,0.4,0.29,12.48
MA,0.42,0.29,15.6
MA,0.44,0.29,14.04
MA,0.46,0.29,12.13
MA,0.48,0.29,12.15
MA,0.5,0.29,12.89
MA,0.2,0.3,6.0
MA,0.22,0.3,6.3
MA,0.24,0.3,8.82
MA,0.26,0.3,9.5
MA,0.28,0.3,8.17
MA,0.3,0.3,7.98
MA,0.32,0.3,11.32
MA,0.34,0.3,9.22
MA,0.36,0.3,11.04
MA,0.38,0.3,11.75
MA,0.4,0.3,11.92
MA,0.42,0.3,13.0
MA,0.44,0.3,11.18
MA,0.46,0.3,12.05
MA,0.48,0.3,12.15
MA,0.5,0.3,15.12
MA,0.2,0.31,6.16
MA,0.22,0.31,7.35
MA,0.24,0.31,10.07
MA,0.26,0.31,8.55
MA,0.28,0.31,11.4
MA,0.3,0.31,9.69
MA,0.32,0.31,10.08
MA,0.34,0.31,11.0
MA,0.36,0.31,13.11
MA,0.38,0.31,11.75
MA,0.4,0.31,12.25
MA,0.42,0.31,11.44
MA,0.44,0.31,14.04
MA,0.46,0.31,13.78
MA,0.48,0.31,13.5
MA,0.5,0.31,14.85
MA,0.2,0.32,6.86
MA,0.22,0.32,9.34
MA,0.24,0.32,9.31
MA,0.26,0.32,10.45
MA,0.28,0.32,10.45
MA,0.3,0.32,10.64
MA,0.32,0.32,10.08
MA,0.34,0.32,11.0
MA,0.36,0.32,12.42
MA,0.38,0.32,11.0
MA,0.4,0.32,15.25
MA,0.42,0.32,14.04
MA,0.44,0.32,11.96
MA,0.46,0.32,11.7
MA,0.48,0.32,14.04
MA,0.5,0.32,14.31
MA,0.2,0.33,7.42
MA,0.22,0.33,9.47
MA,0.24,0.33,8.93
MA,0.26,0.33,8.74
MA,0.28,0.33,10.26
MA,0.3,0.33,9.21
MA,0.32,0.33,9.24
MA,0.34,0.33,8.61
MA,0.36,0.33,11.27
MA,0.38,0.33,13.16
MA,0.4,0.33,11.5
MA,0.42,0.33,13.78
MA,0.44,0.33,12.48
MA,0.46,0.33,14.56
MA,0.48,0.33,12.6
MA,0.5,0.33,12.42
MA,0.2,0.34,6.02
MA,0.22,0.34,9.88
MA,0.24,0.34,9.12
MA,0.26,0.34,10.26
MA,0.28,0.34,9.5
MA,0.3,0.34,9.87
MA,0.32,0.34,11.76
MA,0.34,0.34,11.07
MA,0.36,0.34,12.19
MA,0.38,0.34,12.77
MA,0.4,0.34,12.75
MA,0.42,0.34,14.22
MA,0.44,0.34,15.34
MA,0.46,0.34,13.0
MA,0.48,0.34,12.22
MA,0.5,0.34,12.69
MA,0.2,0.35,7.76
MA,0.22,0.35,9.31
MA,0.24,0.35,10.45
MA,0.26,0.35,11.02
MA,0.28,0.35,9.88
MA,0.3,0.35,10.71
MA,0.32,0.35,10.08
MA,0.34,0.35,8.93
MA,0.36,0.35,11.27
MA,0.38,0.35,10.78
MA,0.4,0.35,13.5
MA,0.42,0.35,11.28
MA,0.44,0.35,11.7
MA,0.46,0.35,11.44
MA,0.48,0.35,14.3
MA,0.5,0.35,17.82
MA,0.2,0.36,8.42
MA,0.22,0.36,8.74
MA,0.24,0.36,8.36
MA,0.26,0.36,9.12
MA,0.28,0.36,11.47
MA,0.3,0.36,9.66
MA,0.32,0.36,11.55
MA,0.34,0.36,10.58
MA,0.36,0.36,9.89
MA,0.38,0.36,14.23
MA,0.4,0.36,12.75
MA,0.42,0.36,12.75
MA,0.44,0.36,11.18
MA,0.46,0.36,10.92
MA,0.48,0.36,11.44
MA,0.5,0.36,13.98
MA,0.2,0.37,10.42
MA,0.22,0.37,9.69
MA,0.24,0.37,9.12
MA,0.26,0.37,10.07
MA,0.28,0.37,8.71
MA,0.3,0.37,9.45
MA,0.32,0.37,8.4
MA,0.34,0.37,10.81
MA,0.36,0.37,11.96
MA,0.38,0.37,11.33
MA,0.4,0.37,13.25
MA,0.42,0.37,13.25
MA,0.44,0.37,12.22
MA,0.46,0.37,13.52
MA,0.48,0.37,11.18
MA,0.5,0.37,12.74
MA,0.2,0.38,7.22
MA,0.22,0.38,9.69
MA,0.24,0.38,8.36
MA,0.26,0.38,8.93
MA,0.28,0.38,11.97
MA,0.3,0.38,9.87
MA,0.32,0.38,10.08
MA,0.34,0.38,10.58
MA,0.36,0.38,11.5
MA,0.38,0.38,12.05
MA,0.4,0.38,11.0
MA,0.42,0.38,14.25
MA,0.44,0.38,13.23
MA,0.46,0.38,12.74
MA,0.48,0.38,13.26
MA,0.5,0.38,13.26
MA,0.2,0.39,12.16
MA,0.22,0.39,11.4
MA,0.24,0.39,9.31
MA,0.26,0.39,10.23
MA,0.28,0.39,10.08
MA,0.3,0.39,9.45
MA,0.32,0.39,10.09
MA,0.34,0.39,10.12
MA,0.36,0.39,10.58
MA,0.38,0.39,11.78
MA,0.4,0.39,12.25
MA,0.42,0.39,13.5
MA,0.44,0.39,14.13
MA,0.46,0.39,12.74
MA,0.48,0.39,14.82
MA,0.5,0.39,12.22
MA,0.2,0.4,9.69
MA,0.22,0.4,10.07
MA,0.24,0.4,8.93
MA,0.26,0.4,8.81
MA,0.28,0.4,10.92
MA,0.3,0.4,10.08
MA,0.32,0.4,9.26
MA,0.34,0.4,12.88
MA,0.36,0.4,11.5
MA,0.38,0.4,14.41
MA,0.4,0.4,12.75
MA,0.42,0.4,12.0
MA,0.44,0.4,15.0
MA,0.46,0.4,12.74
MA,0.48,0.4,13.78
MA,0.5,0.4,11.96
MA,0.2,0.41,8.93
MA,0.22,0.41,9.88
MA,0.24,0.41,8.74
MA,0.26,0.41,10.5
MA,0.28,0.41,10.92
MA,0.3,0.41,9.87
MA,0.32,0.41,10.95
MA,0.34,0.41,10.12
MA,0.36,0.41,11.5
MA,0.38,0.41,13.69
MA,0.4,0.41,12.0
MA,0.42,0.41,14.0
MA,0.44,0.41,13.5
MA,0.46,0.41,12.22
MA,0.48,0.41,11.96
MA,0.5,0.41,9.62
MA,0.2,0.42,8.55
MA,0.22,0.42,9.5
MA,0.24,0.42,9.14
MA,0.26,0.42,9.66
MA,0.28,0.42,10.29
MA,0.3,0.42,10.5
MA,0.32,0.42,11.0
MA,0.34,0.42,10.81
MA,0.36,0.42,14.26
MA,0.38,0.42,11.76
MA,0.4,0.42,13.25
MA,0.42,0.42,11.75
MA,0.44,0.42,12.75
MA,0.46,0.42,14.04
MA,0.48,0.42,11.44
MA,0.5,0.42,13.52
MA,0.2,0.43,7.79
MA,0.22,0.43,8.55
MA,0.24,0.43,10.53
MA,0.26,0.43,10.5
MA,0.28,0.43,11.13
MA,0.3,0.43,10.29
MA,0.32,0.43,11.16
MA,0.34,0.43,10.81
MA,0.36,0.43,11.96
MA,0.38,0.43,12.97
MA,0.4,0.43,14.5
MA,0.42,0.43,14.25
MA,0.44,0.43,13.0
MA,0.46,0.43,12.87
MA,0.48,0.43,15.08
MA,0.5,0.43,12.48
MA,0.2,0.44,9.88
MA,0.22,0.44,7.22
MA,0.24,0.44,9.24
MA,0.26,0.44,10.92
MA,0.28,0.44,10.92
MA,0.3,0.44,10.29
MA,0.32,0.44,11.11
MA,0.34,0.44,12.42
MA,0.36,0.44,11.5
MA,0.38,0.44,12.48
MA,0.4,0.44,11.75
MA,0.42,0.44,12.0
MA,0.44,0.44,10.75
MA,0.46,0.44,12.77
MA,0.48,0.44,10.92
MA,0.5,0.44,13.0
MA,0.2,0.45,9.69
MA,0.22,0.45,10.31
MA,0.24,0.45,10.5
MA,0.26,0.45,10.92
MA,0.28,0.45,11.34
MA,0.3,0.45,10.93
MA,0.32,0.45,10.34
MA,0.34,0.45,13.34
MA,0.36,0.45,12.88
MA,0.38,0.45,10.08
MA,0.4,0.45,13.0
MA,0.42,0.45,11.75
MA,0.44,0.45,12.75
MA,0.46,0.45,12.25
MA,0.48,0.45,13.78
MA,0.5,0.45,13.52
MA,0.2,0.46,9.5
MA,0.22,0.46,9.23
MA,0.24,0.46,10.08
MA,0.26,0.46,10.71
MA,0.28,0.46,9.24
MA,0.3,0.46,9.65
MA,0.32,0.46,10.35
MA,0.34,0.46,10.58
MA,0.36,0.46,11.96
MA,0.38,0.46,11.32
MA,0.4,0.46,12.75
MA,0.42,0.46,12.25
MA,0.44,0.46,12.25
MA,0.46,0.46,11.25
MA,0.48,0.46,11.96
MA,0.5,0.46,10.92
MA,0.2,0.47,12.1
MA,0.22,0.47,12.73
MA,0.24,0.47,12.98
MA,0.26,0.47,13.52
MA,0.28,0.47,14.57
MA,0.3,0.47,14.9
MA,0.32,0.47,14.99
MA,0.34,0.47,14.9
MA,0.36,0.47,14.85
MA,0.38,0.47,14.88
MA,0.4,0.47,15.18
MA,0.42,0.47,15.67
MA,0.44,0.47,15.8
MA,0.46,0.47,15.92
MA,0.48,0.47,16.0
MA,0.5,0.47,15.56
MA,0.2,0.48,13.0
MA,0.22,0.48,13.0
MA,0.24,0.48,13.04
